risk_k,risk_probe,risk_decay_type,risk_decay,risk_decay_beta,risk_alpha,consider_current_layer,perturb_following,ppl,seconds,exit_code
1,0.01,linear,NaN,0.05,0.01,True,True,33.0227,447,0
1,0.01,linear,NaN,0.05,0.01,True,False,33.0227,443,0
1,0.01,linear,NaN,0.05,0.01,False,True,33.0227,443,0
1,0.01,linear,NaN,0.05,0.01,False,False,33.0227,443,0
1,0.01,linear,NaN,0.05,0.05,True,True,33.1773,443,0
1,0.01,linear,NaN,0.05,0.05,True,False,33.1773,443,0
1,0.01,linear,NaN,0.05,0.05,False,True,33.1773,442,0
1,0.01,linear,NaN,0.05,0.05,False,False,33.1773,569,0
1,0.01,linear,NaN,0.05,0.1,True,True,33.1022,600,0
1,0.01,linear,NaN,0.05,0.1,True,False,33.1022,544,0
1,0.01,linear,NaN,0.05,0.1,False,True,33.1022,445,0
1,0.01,linear,NaN,0.05,0.1,False,False,33.1022,443,0
1,0.01,linear,NaN,0.05,0.15,False,True,32.8228,442,0
1,0.01,linear,NaN,0.05,0.15,False,False,32.8228,443,0
1,0.01,linear,NaN,0.05,0.2,False,True,32.5955,443,0
1,0.01,linear,NaN,0.05,0.2,False,False,32.5955,485,0
1,0.01,linear,NaN,0.05,0.25,False,True,31.9837,541,0
1,0.01,linear,NaN,0.05,0.25,False,False,31.9837,554,0
1,0.01,linear,NaN,0.05,0.3,False,True,31.9110,545,0
1,0.01,linear,NaN,0.05,0.3,False,False,31.9110,462,0
1,0.01,linear,NaN,0.05,0.35,False,True,31.4534,449,0
1,0.01,linear,NaN,0.05,0.35,False,False,31.4534,445,0
1,0.01,linear,NaN,0.05,0.4,False,True,31.9286,444,0
1,0.01,linear,NaN,0.05,0.4,False,False,31.9286,443,0
1,0.01,linear,NaN,0.1,0.01,False,True,33.0227,444,0
1,0.01,linear,NaN,0.1,0.01,False,False,33.0227,442,0
1,0.01,linear,NaN,0.1,0.05,False,True,33.1773,444,0
1,0.01,linear,NaN,0.1,0.05,False,False,33.1773,443,0
1,0.01,linear,NaN,0.1,0.1,False,True,33.1022,445,0
1,0.01,linear,NaN,0.1,0.1,False,False,33.1022,443,0
1,0.01,linear,NaN,0.1,0.15,False,True,32.8228,445,0
1,0.01,linear,NaN,0.1,0.15,False,False,32.8228,443,0
1,0.01,linear,NaN,0.1,0.2,False,True,32.5955,444,0
1,0.01,linear,NaN,0.1,0.2,False,False,32.5955,443,0
1,0.01,linear,NaN,0.1,0.25,False,True,31.9837,443,0
1,0.01,linear,NaN,0.1,0.25,False,False,31.9837,443,0
